Appliance,Power_Watts,Usage_Hours_Daily,Quantity,Usage_Days_Monthly,Region,Income_Level,Household_Size,Total_kWh_Monthly,Tariff_Bracket,Estimated_Bill_RWF
Phone Charger,13,2.17,3,28,Rubavu,Low,4,9.28,0-20 kWh,825.92
TV,53,2.28,1,26,Rubavu,Low,4,9.28,0-20 kWh,825.92
LED Lamp,13,3.6,2,30,Rubavu,Low,4,9.28,0-20 kWh,825.92
Radio,12,3.35,1,24,Rubavu,Low,4,9.28,0-20 kWh,825.92
TV,77,4.87,1,27,Rusizi,Low,8,18.67,0-20 kWh,1661.63
Fan,45,3.52,1,26,Rusizi,Low,8,18.67,0-20 kWh,1661.63
Radio,24,2.79,1,20,Rusizi,Low,8,18.67,0-20 kWh,1661.63
Phone Charger,12,3.07,3,28,Rusizi,Low,8,18.67,0-20 kWh,1661.63
Iron,840,1.78,1,5,Kigali,Low,7,21.17,21-50 kWh,2142.7
Phone Charger,9,2.91,2,27,Kigali,Low,7,21.17,21-50 kWh,2142.7
LED Lamp,10,4.07,3,30,Kigali,Low,7,21.17,21-50 kWh,2142.7
Fan,44,4.44,2,20,Kigali,Low,7,21.17,21-50 kWh,2142.7
Radio,10,3.39,1,24,Kigali,Low,7,21.17,21-50 kWh,2142.7
Washing Machine,605,1.27,1,7,Muhanga,Medium,6,195.53,50+ kWh,64780.57
Blender,408,0.63,1,14,Muhanga,Medium,6,195.53,50+ kWh,64780.57
LED Lamp,7,5.06,6,26,Muhanga,Medium,6,195.53,50+ kWh,64780.57
Refrigerator,195,24.0,1,30,Muhanga,Medium,6,195.53,50+ kWh,64780.57
Electric Kettle,1112,1.5,1,22,Muhanga,Medium,6,195.53,50+ kWh,64780.57
Phone Charger,12,3.27,4,25,Muhanga,Medium,6,195.53,50+ kWh,64780.57
Iron,1148,1.58,1,12,Rusizi,Low,3,52.72,50+ kWh,12083.68
LED Lamp,15,4.02,4,27,Rusizi,Low,3,52.72,50+ kWh,12083.68
Fan,50,3.81,2,23,Rusizi,Low,3,52.72,50+ kWh,12083.68
Phone Charger,7,3.02,3,25,Rusizi,Low,3,52.72,50+ kWh,12083.68
Radio,25,3.52,1,23,Rusizi,Low,3,52.72,50+ kWh,12083.68
TV,97,4.29,1,29,Rusizi,Low,3,52.72,50+ kWh,12083.68
Blender,335,0.99,2,16,Muhanga,High,2,719.19,50+ kWh,258011.11
LED Lamp,15,7.38,5,29,Muhanga,High,2,719.19,50+ kWh,258011.11
TV,83,6.11,1,29,Muhanga,High,2,719.19,50+ kWh,258011.11
AC,1933,7.72,1,16,Muhanga,High,2,719.19,50+ kWh,258011.11
Iron,1004,2.99,2,9,Muhanga,High,2,719.19,50+ kWh,258011.11
Washing Machine,664,2.18,1,7,Muhanga,High,2,719.19,50+ kWh,258011.11
Phone Charger,6,5.35,4,29,Muhanga,High,2,719.19,50+ kWh,258011.11
Electric Kettle,1301,1.22,1,21,Muhanga,High,2,719.19,50+ kWh,258011.11
Water Heater,2646,2.12,2,21,Muhanga,High,2,719.19,50+ kWh,258011.11
Refrigerator,142,24.0,1,30,Muhanga,High,2,719.19,50+ kWh,258011.11
Radio,11,1.19,1,30,Kigali,Medium,6,155.63,50+ kWh,50057.47
Washing Machine,581,1.42,1,11,Kigali,Medium,6,155.63,50+ kWh,50057.47
Fan,43,6.37,3,18,Kigali,Medium,6,155.63,50+ kWh,50057.47
Refrigerator,151,24.0,1,30,Kigali,Medium,6,155.63,50+ kWh,50057.47
Electric Kettle,1098,0.69,1,27,Kigali,Medium,6,155.63,50+ kWh,50057.47
Phone Charger,11,3.55,2,28,Kigali,Medium,6,155.63,50+ kWh,50057.47
TV,77,7.46,2,25,Kigali,High,5,1161.9,50+ kWh,421371.1
LED Lamp,11,5.01,5,28,Kigali,High,5,1161.9,50+ kWh,421371.1
Phone Charger,12,5.14,5,30,Kigali,High,5,1161.9,50+ kWh,421371.1
Water Heater,2802,3.11,2,27,Kigali,High,5,1161.9,50+ kWh,421371.1
Fan,52,5.78,2,16,Kigali,High,5,1161.9,50+ kWh,421371.1
AC,2610,4.24,2,20,Kigali,High,5,1161.9,50+ kWh,421371.1
Electric Kettle,1025,1.58,1,28,Kigali,High,5,1161.9,50+ kWh,421371.1
Microwave,880,0.54,2,23,Kigali,High,5,1161.9,50+ kWh,421371.1
Blender,395,0.53,1,9,Kigali,High,5,1161.9,50+ kWh,421371.1
Refrigerator,151,24.0,1,30,Kigali,High,5,1161.9,50+ kWh,421371.1
Iron,1117,1.16,1,12,Kigali,High,5,1161.9,50+ kWh,421371.1
Phone Charger,10,3.86,2,25,Kigali,Low,7,18.82,0-20 kWh,1674.98
Radio,19,3.86,1,29,Kigali,Low,7,18.82,0-20 kWh,1674.98
Fan,44,4.15,1,23,Kigali,Low,7,18.82,0-20 kWh,1674.98
LED Lamp,10,5.64,3,26,Kigali,Low,7,18.82,0-20 kWh,1674.98
TV,86,2.47,1,29,Kigali,Low,7,18.82,0-20 kWh,1674.98
LED Lamp,9,5.13,4,26,Nyagatare,Medium,8,54.29,50+ kWh,12663.01
Phone Charger,10,3.61,4,30,Nyagatare,Medium,8,54.29,50+ kWh,12663.01
Iron,1058,1.48,1,4,Nyagatare,Medium,8,54.29,50+ kWh,12663.01
TV,131,4.27,1,27,Nyagatare,Medium,8,54.29,50+ kWh,12663.01
Fan,40,4.67,1,19,Nyagatare,Medium,8,54.29,50+ kWh,12663.01
Laptop,50,4.96,2,28,Nyagatare,Medium,8,54.29,50+ kWh,12663.01
Washing Machine,687,1.01,1,5,Nyagatare,Medium,8,54.29,50+ kWh,12663.01
Blender,489,0.59,1,10,Nyagatare,Medium,8,54.29,50+ kWh,12663.01
Radio,16,4.34,1,26,Huye,Low,4,10.39,0-20 kWh,924.71
Phone Charger,7,3.85,3,26,Huye,Low,4,10.39,0-20 kWh,924.71
Iron,890,1.82,1,4,Huye,Low,4,10.39,0-20 kWh,924.71
Phone Charger,10,5.22,6,26,Kigali,High,8,345.72,50+ kWh,120200.68
Refrigerator,103,24.0,1,30,Kigali,High,8,345.72,50+ kWh,120200.68
Iron,942,2.73,2,8,Kigali,High,8,345.72,50+ kWh,120200.68
Laptop,81,5.55,2,30,Kigali,High,8,345.72,50+ kWh,120200.68
TV,92,7.76,3,25,Kigali,High,8,345.72,50+ kWh,120200.68
Fan,51,7.48,3,23,Kigali,High,8,345.72,50+ kWh,120200.68
LED Lamp,6,7.98,4,27,Kigali,High,8,345.72,50+ kWh,120200.68
Electric Kettle,1223,1.61,2,28,Kigali,High,8,345.72,50+ kWh,120200.68
Electric Kettle,1035,1.45,1,25,Huye,Medium,4,175.16,50+ kWh,57264.04
LED Lamp,15,7.39,5,30,Huye,Medium,4,175.16,50+ kWh,57264.04
Phone Charger,13,3.93,3,28,Huye,Medium,4,175.16,50+ kWh,57264.04
Refrigerator,151,24.0,1,30,Huye,Medium,4,175.16,50+ kWh,57264.04
Laptop,66,4.66,1,26,Huye,Medium,4,175.16,50+ kWh,57264.04
Iron,1026,2.35,2,12,Rubavu,High,6,1098.39,50+ kWh,397935.91
Electric Kettle,1406,1.9,2,22,Rubavu,High,6,1098.39,50+ kWh,397935.91
Water Heater,2086,2.57,2,30,Rubavu,High,6,1098.39,50+ kWh,397935.91
LED Lamp,10,5.47,8,26,Rubavu,High,6,1098.39,50+ kWh,397935.91
AC,2135,4.9,2,16,Rubavu,High,6,1098.39,50+ kWh,397935.91
Phone Charger,5,4.18,4,28,Rubavu,High,6,1098.39,50+ kWh,397935.91
TV,148,4.29,3,28,Rubavu,High,6,1098.39,50+ kWh,397935.91
Refrigerator,191,24.0,1,30,Rubavu,High,6,1098.39,50+ kWh,397935.91
Microwave,924,0.6,1,15,Rubavu,High,6,1098.39,50+ kWh,397935.91
Laptop,89,5.13,1,22,Rubavu,High,6,1098.39,50+ kWh,397935.91
