Household_ID,Appliance,Power_Watts,Usage_Hours_Daily,Quantity,Usage_Days_Monthly,Region,Income_Level,Household_Size,Total_kWh_Monthly,Tariff_Bracket,Estimated_Bill_RWF,Month
HH00001,Laptop,57,7.1,2,27,Eastern,High,1,21.85,21-50 kWh,6773.5,March
HH00002,Iron,1041,4.4,3,23,Eastern,High,6,316.05,50+ kWh,116622.45,May
HH00003,Washing Machine,562,5.3,1,28,Eastern,Low,6,83.4,50+ kWh,30774.6,May
HH00004,Water Heater,1804,3.5,1,30,Southern,High,7,189.42,50+ kWh,69895.98,October
HH00005,Radio,44,6.7,1,25,Kigali,High,5,7.37,0-20 kWh,655.93,August
HH00006,Stove,1416,6.8,2,28,Northern,High,2,539.21,50+ kWh,198968.49,December
HH00007,Mobile Charger,8,1.2,1,27,Eastern,Medium,6,0.26,0-20 kWh,23.14,February
HH00008,Mobile Charger,10,6.5,3,20,Kigali,Medium,7,3.9,0-20 kWh,347.1,September
HH00009,Water Heater,2777,8.9,3,22,Kigali,Medium,4,1631.21,50+ kWh,601916.49,January
HH00010,Stove,1386,7.1,3,20,Southern,Medium,1,590.44,50+ kWh,217872.36,August
HH00011,Microwave,816,2.4,2,25,Northern,High,6,97.92,50+ kWh,36132.48,March
HH00012,Stove,1782,2.3,3,23,Northern,High,5,282.8,50+ kWh,104353.2,January
HH00013,Mobile Charger,6,7.5,2,23,Kigali,High,5,2.07,0-20 kWh,184.23,November
HH00014,Mobile Charger,5,5.3,3,20,Western,High,2,1.59,0-20 kWh,141.51,December
HH00015,Radio,31,9.1,2,23,Southern,High,8,12.98,0-20 kWh,1155.22,July
HH00016,Radio,40,9.7,3,21,Kigali,Low,7,24.44,21-50 kWh,7576.4,November
HH00017,Radio,22,3.2,1,30,Kigali,Low,8,2.11,0-20 kWh,187.79,January
HH00018,Washing Machine,945,3.6,3,24,Western,Low,1,244.94,50+ kWh,90382.86,September
HH00019,Radio,22,9.9,3,31,Eastern,Low,6,20.26,21-50 kWh,6280.6,January
HH00020,TV,148,6.6,3,27,Western,Low,1,79.12,50+ kWh,29195.28,October
HH00021,Fan,43,5.6,1,24,Western,Medium,8,5.78,0-20 kWh,514.42,April
HH00022,Fan,67,7.1,2,25,Northern,Medium,6,23.79,21-50 kWh,7374.9,October
HH00023,Laptop,30,5.1,2,23,Kigali,High,4,7.04,0-20 kWh,626.56,May
HH00024,Light Bulb,12,1.4,2,30,Northern,Low,8,1.01,0-20 kWh,89.89,February
HH00025,Fridge,129,9.0,2,20,Western,Medium,6,46.44,21-50 kWh,14396.4,March
HH00026,Iron,999,7.0,1,21,Southern,Medium,6,146.85,50+ kWh,54187.65,February
HH00027,Water Heater,2888,4.3,2,23,Southern,Medium,1,571.25,50+ kWh,210791.25,December
HH00028,Iron,1031,0.6,1,28,Eastern,Low,3,17.32,0-20 kWh,1541.48,July
HH00029,Laptop,59,9.9,3,26,Western,Low,1,45.56,21-50 kWh,14123.6,May
HH00030,Fan,60,6.4,2,29,Eastern,Low,5,22.27,21-50 kWh,6903.7,March
HH00031,Mobile Charger,6,2.7,3,27,Kigali,Medium,3,1.31,0-20 kWh,116.59,October
HH00032,Laptop,38,7.0,3,21,Northern,Medium,2,16.76,0-20 kWh,1491.64,April
HH00033,Radio,22,1.6,2,27,Eastern,Low,5,1.9,0-20 kWh,169.1,December
HH00034,Washing Machine,903,7.6,1,28,Southern,Low,4,192.16,50+ kWh,70907.04,May
HH00035,Washing Machine,830,2.2,3,27,Western,Medium,3,147.91,50+ kWh,54578.79,August
HH00036,Stove,1706,5.8,2,20,Kigali,Medium,7,395.79,50+ kWh,146046.51,October
HH00037,TV,52,6.5,3,26,Northern,Low,3,26.36,21-50 kWh,8171.6,January
HH00038,Radio,20,3.8,3,29,Kigali,High,7,6.61,0-20 kWh,588.29,October
HH00039,Iron,838,4.3,1,28,Western,Low,1,100.9,50+ kWh,37232.1,May
HH00040,Radio,22,2.0,1,29,Northern,High,6,1.28,0-20 kWh,113.92,October
HH00041,Fan,58,8.5,2,27,Western,Low,6,26.62,21-50 kWh,8252.2,July
HH00042,Stove,1155,2.6,1,26,Kigali,Low,4,78.08,50+ kWh,28811.52,June
HH00043,Laptop,32,6.7,1,25,Northern,Medium,8,5.36,0-20 kWh,477.04,June
HH00044,Stove,1575,2.3,3,24,Eastern,High,4,260.82,50+ kWh,96242.58,March
HH00045,Mobile Charger,10,8.1,1,31,Kigali,High,4,2.51,0-20 kWh,223.39,November
HH00046,Mobile Charger,5,3.1,3,23,Western,Low,6,1.07,0-20 kWh,95.23,January
HH00047,TV,92,2.7,1,30,Northern,High,1,7.45,0-20 kWh,663.05,July
HH00048,Stove,1219,7.7,2,27,Western,Medium,2,506.86,50+ kWh,187031.34,February
HH00049,Fridge,171,1.5,3,24,Northern,Low,2,18.47,0-20 kWh,1643.83,November
HH00050,Radio,43,9.4,3,23,Western,High,4,27.89,21-50 kWh,8645.9,September
